,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
10354,14527923,Manhattan,Private room in rental unit,Private room,40.79565,-73.94982,2,1.0,1.0,1.0,56,0,0,0,1,1,0,1,0,1
10356,14530298,Manhattan,Entire rental unit,Entire home/apt,40.79193,-73.97388,4,1.0,1.0,2.0,250,2,1,0,1,1,1,1,1,0
10357,14532445,Manhattan,Private room in rental unit,Private room,40.72801,-73.98042,2,2.0,1.0,1.0,100,1,1,0,1,1,1,1,0,0
10358,14536056,Brooklyn,Entire loft,Entire home/apt,40.70649,-73.93293,6,1.0,3.0,3.0,149,1,1,0,1,1,1,1,0,0
10359,14547982,Brooklyn,Private room in rental unit,Private room,40.71869,-73.95488,2,1.0,1.0,1.0,99,1,1,0,1,1,1,1,1,0
10360,14548280,Manhattan,Private room in rental unit,Private room,40.72207,-73.988,2,1.0,1.0,1.0,84,0,0,0,1,1,0,1,0,0
10361,14551508,Queens,Private room in rental unit,Private room,40.70778,-73.90712,2,1.0,1.0,1.0,45,0,0,0,1,1,1,1,0,0
10362,14553862,Manhattan,Entire rental unit,Entire home/apt,40.7988,-73.9676,4,1.0,1.0,2.0,195,2,1,0,1,1,1,1,1,0
10363,14554093,Manhattan,Entire rental unit,Entire home/apt,40.7382,-74.00215,2,1.0,1.0,1.0,150,1,0,0,1,1,1,1,1,0
10364,14555269,Manhattan,Private room in rental unit,Private room,40.71858,-73.9822,2,1.0,1.0,1.0,95,1,1,0,1,1,1,1,1,0
10365,14556634,Brooklyn,Private room in rental unit,Private room,40.72607,-73.94764,2,1.5,1.0,1.0,48,0,1,0,0,1,0,1,0,0
10366,14556661,Manhattan,Entire rental unit,Entire home/apt,40.80366,-73.9578,2,1.0,1.0,1.0,70,0,0,0,1,1,1,1,1,0
10367,14557504,Brooklyn,Private room in townhouse,Private room,40.67609,-73.9528,3,2.0,1.0,2.0,120,1,1,0,1,1,1,1,0,1
10369,14568858,Brooklyn,Entire rental unit,Entire home/apt,40.71991,-73.94071,3,1.0,1.0,1.0,250,2,1,0,1,1,1,1,1,0
10370,14576763,Manhattan,Private room in rental unit,Private room,40.75971,-73.99221,2,1.0,1.0,1.0,85,0,1,0,1,1,1,1,1,0
10372,14588156,Brooklyn,Entire townhouse,Entire home/apt,40.67122,-73.94543,4,1.0,1.0,1.0,150,1,1,0,1,1,1,1,0,0
10373,14593326,Brooklyn,Private room in rental unit,Private room,40.69556,-73.95178,2,1.0,1.0,1.0,50,0,1,0,0,1,1,1,0,0
10374,14595903,Brooklyn,Private room in rental unit,Private room,40.68578,-73.96458,4,1.5,1.0,2.0,85,0,1,0,1,1,1,1,0,1
10376,14608127,Manhattan,Entire rental unit,Entire home/apt,40.74577,-73.97861,2,1.0,1.0,1.0,175,1,1,0,1,1,1,1,0,0
